,gene_name,mean_expression
423,BRINP2,0.17918340367112423
424,NEK7,0.7786647683937561
425,PGBD5,0.21047948339858646
426,ANKRD45,0.2967153099100015
427,ZNF695,0.22092845883968068
428,RPS6KC1,0.596023796206844
429,TMCC2,0.53721970814054
430,PM20D1,0.2416738699344079
431,NUP133,0.6686327350383892
432,RGS21,0.10743885696852595
433,RGS1,0.3886968017491229
434,PGBD2,0.45210250673717395
435,FLVCR1,0.5414145522957238
436,SLC41A1,0.8423247063609092
437,USH2A,0.20107286317181064
438,ZNF670,0.58809172725886
439,ADSS2,0.047973763156556666
440,PLD5,0.1838612904866019
441,LMOD1,0.5301774546194132
442,ACBD6,0.7218945441602684
443,ST7L,0.5782274876697006
444,RBBP5,0.7443941628107998
445,XPR1,0.8637311232013016
446,KIF14,0.4561448111048965
447,STYXL2,0.047973763156556666
448,COLGALT2,0.26798698327146997
449,LYPD8,0.10743885696852595
450,PCNX2,0.3592057761732852
451,CNIH3,0.38826460568464943
452,SDCCAG8,0.7917323435196013
453,SLC35F3,0.17389535770580158
454,ZNF281,0.8459856612599786
455,MAEL,0.15078557990542532
456,ARID4B,0.9573905527024966
457,SH3BP5L,0.5251436416331926
458,WNT2B,0.6618701377942747
459,NUCKS1,0.9416281079981695
460,MAP3K21,0.3360705750749987
461,FYB2,0.231885900238979
462,TIMM17A,0.9199166115828545
463,CDC7,0.5242538262063355
464,TEX50,0.047973763156556666
465,GPR52,0.20717445467025983
466,SMYD3,0.7077846138201047
467,KLHL20,0.7291910306604973
468,NTPCR,0.7013779427467332
469,RAB29,0.8449687293435705
470,KCTD3,0.7272080134235013
471,ZC3H12A,0.9549499161031169
472,HHAT,0.3483500279656277
473,CD244,0.23369095439060356
474,RBM34,0.4678141048456806
475,KCNK1,0.6419891188284944
476,TEDDM1,0.1402603345706005
477,HMCN1,0.6745309401535567
478,PDC,0.17389535770580158
479,CAMK2N1,0.6046168709004932
480,MUL1,0.7277673259775258
481,FAM43B,0.294172980118981
482,CDA,0.7349366959882035
483,PINK1,0.7937153607565973
484,CDC73,0.8645955153302486
485,B3GALT2,0.41320486093456044
486,LRRC40,0.6411247266995475
487,ANKRD13C,0.6889205267707327
488,CTH,0.3662226063965018
489,E2F2,0.22092845883968068
490,ID3,0.9777291910306605
491,RPL11,0.9920170844561956
492,PITHD1,0.8937814613311639
493,LYPLA2,0.9002898255961763
494,GALE,0.7509279503737225
495,APCS,0.28690191691666245
496,CRP,0.32844358570193727
497,DUSP23,0.9661870137794275
498,FCRL6,0.24777546143285706
499,SLAMF8,0.2832155387196827
500,VSIG8,0.29061371841155237
501,CFAP45,0.3979254588905273
502,SLAMF9,0.15078557990542532
503,ATP1A1,0.9934916357349876
504,ZBTB41,0.599633904510093
505,EFNA4,0.39777291910306606
506,EFNA4-EFNA3,0.047973763156556666
507,EFNA3,0.46544973814003154
508,EFNA1,0.9839833223165709
509,SLC50A1,0.8535618040372197
510,KRTCAP2,0.8654853307571058
511,,0.047973763156556666
512,THBS3,0.44734835002796564
513,GBA1,0.047973763156556666
514,SCAMP3,0.9104082981644379
515,CLK2,0.5853460110845579
516,HCN3,0.3132150302537245
517,PKLR,0.19273402145726343
518,CR1L,0.42451822850460164
519,CD34,0.9824579244419586
520,PGD,0.8525448721208115
521,CENPS-CORT,0.2820460670158133
522,CENPS,0.489449331367265
523,DFFA,0.9003915187878172
524,LAX1,0.24884323994508567
525,,0.047973763156556666
526,SNRPE,0.8899171200488127
527,SMPDL3B,0.28031728275791934
528,XKR8,0.6050236436670565
529,FAM89A,0.6832257080388467
530,C1orf131,0.6616159048151726
531,TOE1,0.5594650938119693
532,TESK2,0.4134590939136625
533,CCDC163,0.5310926933441806
534,MMACHC,0.46311079473229266
535,GCSAML,0.20107286317181064
536,OR2G2,0.047973763156556666
537,OR2G3,0.047973763156556666
538,CHRM3,0.5857019372553007
539,FAM102B,0.3962983678242742
540,HENMT1,0.47419535262114204
541,PRPF38B,0.9211369298825444
542,FNDC7,0.19273402145726343
543,STXBP3,0.8664768393756038
544,TMEM167B,0.7654955000762699
545,DAP3,0.8891544211115066
546,SYT11,0.7912238775613972
547,KHDC4,0.7510550668632735
548,SSR2,0.9510855748207657
549,UBQLN4,0.5430670666598871
550,RAB25,0.2514109930340164
551,PMF1-BGLAP,0.37392586566329383
552,BGLAP,0.3597905120252199
553,SMG5,0.7272588600193217
554,TMEM79,0.3324604667717496
555,CCT3,0.9682208776122438
556,RHBG,0.2567244622972492
557,MEX3A,0.5005084659582041
558,CYP4X1,0.44800935577363094
559,CYP4Z1,0.26300401688106984
560,PDZK1IP1,0.35218894595006867
561,FOXE3,0.15078557990542532
562,VHLL,0.1838612904866019
563,LRRC52,0.047973763156556666
564,IGSF3,0.3555956678700361
565,GLUL,0.9875425840239996
566,NTMT2,0.047973763156556666
567,ELAVL4,0.1838612904866019
568,COA6,0.6906493110286266
569,CORT,0.4154421111506585
570,AHCTF1,0.8819850511008288
571,FRRS1,0.3353078761376926
572,LRRC7,0.41691666242945036
573,F13B,0.18818325113133677
574,LEPR,0.7602074541109473
575,PSMD4,0.9519499669497127
576,TAGLN2,0.9968475110591346
577,PEA15,0.9251538109523567
578,H6PD,0.7815884476534296
579,FOXD2,0.24510601515228556
580,DDOST,0.9330858799003406
581,PRG4,0.47223775868205625
582,ST3GAL3,0.5312452331316418
583,SLC1A7,0.20717445467025983
584,ZNF692,0.5264148065287029
585,FGGY,0.4788478161387095
586,DISC1,0.5620074236029898
587,PLA2G2F,0.047973763156556666
588,OLFM3,0.26541923018253927
589,PRXL2B,0.5591091676412264
590,DPM3,0.7193013677734276
591,RXFP4,0.3649260182030813
592,GBP6,0.24352977068185286
593,NPPB,0.1268114099761021
594,KIAA2013,0.7445975491940815
595,PLOD1,0.8914933645192454
596,MIIP,0.6429043575532618
597,TNFRSF8,0.5007881222352164
598,RBBP4,0.9257639701022017
599,SYNC,0.46445822952153354
600,KIAA1522,0.6401586413789597
601,S100PBP,0.667005643972136
602,FNDC5,0.26938526465653123
603,HPCA,0.34987542584024
604,TMEM54,0.6900391518787817
605,UFC1,0.9029338485788376
606,PPOX,0.6260232877408858
607,B4GALT3,0.7903594854324503
608,ADAMTS4,0.9850511008287995
609,FCER1G,0.5219403060965069
610,APOA2,0.321960644734835
611,TOMM40L,0.47587329028321557
612,NR1I3,0.26541923018253927
613,PCP4L1,0.25402959271876746
614,CFAP126,0.17389535770580158
615,GJA5,0.5749478822392841
616,GJA8,0.15078557990542532
617,GPR89B,0.5731174047897494
618,MFN2,0.7909696445822952
619,TMCO2,0.21047948339858646
620,ZMPSTE24,0.7866222606396501
621,COL9A2,0.23554685513804852
622,ZFP69B,0.4512889612040474
623,MPZ,0.39578990186607005
624,MTFR1L,0.7042761987084964
625,AUNIP,0.4186200233894341
626,PAQR7,0.4346367010728632
627,STMN1,0.96278029185946
628,RNF220,0.7411399806782936
629,TMEM53,0.49672039456958356
630,ARMH1,0.3277825799562719
631,KIF2C,0.25011440484059594
632,RPS8,0.9945594142472162
633,BEST4,0.25402959271876746
634,PLK3,0.8580363044694158
635,PTCH2,0.518991203538923
636,EIF2B3,0.7264961610820155
637,HECTD3,0.6138709513398078
638,UROD,0.8791376417348858
639,NOL9,0.6282605379569838
640,TAS1R1,0.43107743936543447
641,ZBTB48,0.6251588956119388
642,,0.047973763156556666
643,LRRC8C,0.9361875222453857
644,EPHA8,0.167615803121981
645,HEATR1,0.6845477195301775
646,MT1HL1,0.10743885696852595
647,STX12,0.9336451924543652
648,PPP1R8,0.5340417959017644
649,THEMIS2,0.4874154675344486
650,RPA2,0.8370875069914069
651,MFAP2,0.4240097625463975
652,ATP13A2,0.7075812274368231
653,SDHB,0.91935729902883
654,PADI2,0.22654700767783598
655,PADI1,0.167615803121981
656,PADI3,0.047973763156556666
657,CCN1,0.9903899933899425
658,HHIPL2,0.167615803121981
659,TAF1A,0.5140590837443433
660,MIA3,0.8861798952560126
661,AIDA,0.78908832053694
662,BROX,0.8346468703920272
663,TLR5,0.37786647683937563
664,ERMAP,0.5024914831952001
665,ZNF691,0.46407688005288045
666,DISP1,0.5019575939390858
667,HSD3B1,0.10743885696852595
668,ZNF697,0.544160268470026
669,HMGCS2,0.24352977068185286
670,REG4,0.2040219657293944
671,ADAM30,0.15078557990542532
672,PHGDH,0.35274825850409314
673,INSRR,0.10743885696852595
674,LRRC47,0.7070219148827986
675,TBCE,0.4835765495500076
676,DENND4B,0.743428077490212
677,CRTC2,0.7115472619108151
678,CREB3L4,0.4524584329079168
679,JTB,0.9121370824223318
680,RAB13,0.9282046067015813
681,RPS27,0.9951187268012407
682,C1orf52,0.872324197894951
683,CEP104,0.6841917933594346
684,DFFB,0.46763614176030915
685,,0.047973763156556666
686,ACP6,0.41434890934051966
687,C1orf21,0.9302384705343977
688,ZNF436,0.4658056643107744
689,TCEA3,0.5434992627243606
690,B3GALNT2,0.4796359383739259
691,HSPA6,0.905323638582397
692,PROK1,0.22298774597040727
693,KCNA10,0.047973763156556666
694,KCNA2,0.19725936848527992
695,FDPS,0.9562210809986271
696,GPSM2,0.5964559922713174
697,DYNLT4,0.047973763156556666
698,KCNK2,0.3246809376112269
699,RO60,0.9548482229114761
700,CASQ2,0.40883205369400516
701,SYT6,0.23554685513804852
702,TSACC,0.4394671276758021
703,CFAP57,0.3342655209233742
704,EBNA1BP2,0.8510957441399298
705,WARS2,0.6440738292571312
706,PACC1,0.047973763156556666
707,FAM76A,0.7362078608837138
708,GLRX2,0.7547668683581634
709,USP33,0.8677988508669344
710,PUM1,0.9135099405094829
711,TNFRSF25,0.6227182590125591
712,RCOR3,0.7375298723750445
713,CFAP276,0.047973763156556666
714,ZCCHC17,0.8392230640158641
715,POGK,0.760054914323486
716,PAQR6,0.28855443128082575
717,RGL1,0.8503076219047134
718,HAO2,0.23015711598108507
719,ITGB3BP,0.5883968068337825
720,TRIM63,0.1598871205572787
721,KCNC4,0.6485737529872375
722,MEAF6,0.8227996135658717
723,C1orf232,0.33083337570549654
724,PPT1,0.9080185081608786
725,PLEKHG5,0.723699598311893
726,LGALS8,0.8839172217420044
727,MRPL20,0.8669853053338079
728,VWA1,0.8458585447704277
729,ATAD3C,0.4239080693547567
730,ABCB10,0.49092388264605685
731,URB2,0.6017186149387298
732,RNF186,0.17389535770580158
733,OTUD3,0.5046270402196573
734,PLA2G2E,0.047973763156556666
735,OR2M7,0.047973763156556666
736,OR14C36,0.047973763156556666
737,KNCN,0.047973763156556666
738,MKNK1,0.7297503432145218
739,ARTN,0.2640972186912086
740,IPO13,0.5262622667412417
741,ATP6V0B,0.9659327808003254
742,CCDC24,0.421340316265826
743,SLC6A9,0.3442060304062643
744,OR2T3,0.047973763156556666
745,OR2T5,0.047973763156556666
746,OR2T34,0.10743885696852595
747,OR14I1,0.047973763156556666
748,LCE3B,0.047973763156556666
749,LCE3A,0.1402603345706005
750,LCE2D,0.047973763156556666
751,LCE2B,0.1268114099761021
752,LCE2A,0.10743885696852595
753,PRAMEF15,0.1268114099761021
754,PRAMEF14,0.047973763156556666
755,PRAMEF17,0.1402603345706005
756,EPHX4,0.45469568312401487
757,FNDC10,0.34242639955254994
758,MMP23B,0.24510601515228556
759,SLC35E2B,0.4905933797732242
760,CDK11A,0.6132099455941424
761,NADK,0.7328519855595668
762,TMEM52,0.3644683988406976
763,CD1A,0.047973763156556666
764,CD1C,0.19273402145726343
765,CD1B,0.1402603345706005
766,CD1E,0.1402603345706005
767,OR10T2,0.047973763156556666
768,DR1,0.8494940763715869
769,MAPKAPK2,0.6754461788783241
770,IL24,0.3087151065236182
771,FCMR,0.3695276351248284
772,PIGR,0.388086642599278
773,FCAMR,0.10743885696852595
774,C1orf116,0.23554685513804852
775,PRMT6,0.4632124879239335
776,SH3BGRL3,0.9904916865815834
777,CD52,0.44383993491635737
778,ZNF683,0.15078557990542532
779,TINAGL1,0.9738140031524889
780,PEF1,0.9172217420043728
781,ORC1,0.5428891035745157
782,SDE2,0.9021711496415314
783,H3-3A,0.047973763156556666
784,ACBD3,0.8827985966339553
785,MIXL1,0.23369095439060356
786,DEGS1,0.9466110743885697
787,NVL,0.5292876391925561
788,CNIH4,0.9189505262622667
789,BMP8A,0.42619616616667516
790,HEYL,0.3730614735343469
791,HPCAL4,0.2040219657293944
792,PABPC4,0.8313418416637006
793,ECM1,0.35432450297452583
794,ENSA,0.8424263995525499
795,GOLPH3L,0.6995474652971984
796,HORMAD1,0.23015711598108507
797,MCL1,0.9593735699394925
798,WNT3A,0.10743885696852595
799,C1orf35,0.7213606549041541
800,MRPL55,0.8001728784257894
801,GJC2,0.44208572736055324
802,IBA57,0.6173793664514161
803,TRIM11,0.6885646005999898
804,TRIM17,0.18818325113133677
805,PPIH,0.6176844460263385
806,YBX1,0.9778308842223014
807,CLDN19,0.36279046117862407
808,P3H1,0.8103421975898714
809,STPG1,0.5594142472161489
810,NIPAL3,0.6954797376315656
811,RCAN3,0.5811765902272843
812,NCMAP,0.2401738953577058
813,JUN,0.9861188793410282
814,ASH1L,0.9091371332689276
815,TXLNA,0.9345604311791326
816,IQCC,0.3562566736157014
817,FAM167B,0.802105049066965
818,HDAC1,0.8565109065948034
819,MARCKSL1,0.9195606854121117
820,TSSK3,0.4062643006050745
821,SLC16A4,0.5774647887323944
822,LAMTOR5,0.9233741800986424
823,YTHDF2,0.9335943458585447
824,TMEM200B,0.3406467686988356
825,MECR,0.5977017338689175
826,HLX,0.7932068947983932
827,MARK1,0.43290791681496926
828,C1orf115,0.8808664259927798
829,DARS2,0.6844460263385367
830,RC3H1,0.9572888595108557
